"ACTR3B","ANLN","BAG1","BCL2","BIRC5","BLVRA","CCNB1","CCNE1","CDC20","CDC6","CDH3","CENPF","CEP55","CXXC5","EGFR","ERBB2","ESR1","EXO1","FGFR4","FOXA1","FOXC1","GPR160","GRB7","KIF2C","KRT14","KRT17","KRT5","MAPT","MDM2","MELK","MIA","MKI67","MLPH","MMP11","MYBL2","MYC","NAT1","NDC80","NUF2","ORC6L","PGR","PHGDH","PTTG1","RRM2","SFRP1","SLC39A6","TMEM45B","TYMS","UBE2C","UBE2T","subtype"
24,56,64,70,32,78,68,10,62,44,26,80,40,74,18,92,100,34,20,96,12,46,66,48,2,6,6,84,88,30,8,76,90,98,60,72,86,38,36,16,82,22,50,52,14,94,28,54,58,42,"BRCA.LumA"
14,44,78,76,22,80,66,6,50,20,26,86,42,62,4,98,82,30,12,92,8,70,46,54,32,58,34,68,72,24,2,84,96,100,60,74,88,18,48,10,90,28,40,64,16,94,38,52,36,56,"BRCA.LumA"
40,52,90,88,34,58,62,4,50,54,10,74,24,76,8,86,98,36,6,96,14,66,64,38,20,16,18,84,80,28,2,72,92,78,12,82,46,42,60,26,94,68,44,70,22,100,30,48,32,56,"BRCA.LumA"
22,30,84,66,32,88,76,6,52,14,44,70,26,64,4,86,98,28,12,92,8,78,36,38,68,74,56,82,80,24,2,72,96,100,40,58,90,20,16,10,34,48,60,62,18,94,46,42,54,50,"BRCA.LumA"
40,72,80,76,32,78,66,6,36,24,18,74,20,68,4,90,94,12,58,92,10,54,38,30,46,62,28,84,82,22,2,64,96,98,52,50,100,16,28,8,88,44,34,70,42,86,14,60,48,56,"BRCA.LumA"
16,44,76,82,20,80,54,4,42,34,48,70,24,62,46,90,98,16,2,96,26,66,40,32,84,60,86,56,74,10,6,78,94,72,36,58,68,18,12,8,88,64,22,50,92,100,30,52,38,28,"BRCA.LumA"
52,28,70,76,14,66,50,10,34,32,74,40,16,60,54,90,92,2,46,82,44,64,62,24,98,100,94,80,72,8,56,36,88,42,18,78,58,4,6,22,84,68,20,26,86,96,48,38,14,30,"BRCA.LumA"
12,46,62,72,20,64,52,2,48,26,58,76,30,56,42,98,82,22,8,92,24,54,44,36,80,74,86,88,70,18,10,66,84,96,50,68,78,16,14,4,90,60,28,40,94,100,6,32,34,38,"BRCA.LumA"
26,48,84,82,16,38,66,4,54,50,10,72,28,76,6,88,100,12,24,98,8,70,60,40,56,22,44,94,80,20,2,74,92,86,36,78,62,18,30,14,90,58,32,68,52,96,34,64,44,46,"BRCA.LumA"
20,60,72,76,46,78,70,4,44,38,28,74,34,68,8,90,96,16,26,94,10,64,40,32,50,84,92,58,82,18,2,80,88,98,62,86,66,12,14,6,36,54,42,56,22,100,48,24,52,30,"BRCA.LumA"
32,46,62,84,8,66,44,2,38,26,50,58,30,72,52,98,86,4,12,92,40,60,70,34,68,74,78,96,76,16,14,56,90,94,28,80,64,18,10,6,88,48,22,36,82,100,54,42,24,20,"BRCA.LumA"
22,64,50,36,38,58,60,18,72,28,76,66,40,78,14,94,88,10,8,86,12,44,32,48,74,90,98,80,68,34,2,70,84,96,42,82,62,6,16,24,100,56,20,54,52,92,4,26,46,32,"BRCA.LumA"
14,42,78,88,30,68,48,2,16,28,60,56,22,64,46,98,92,6,8,90,52,62,58,12,84,72,82,80,70,20,24,54,96,94,26,74,86,10,18,4,66,32,36,44,76,100,40,50,38,34,"BRCA.LumA"
24,44,66,60,14,64,62,2,46,22,86,70,18,74,50,92,82,10,6,94,26,68,56,40,84,88,90,54,78,16,8,80,76,100,52,72,42,12,28,4,48,58,20,38,96,98,38,34,30,32,"BRCA.LumA"
38,64,86,88,44,80,56,8,28,50,62,76,48,84,26,92,96,22,16,94,18,74,60,30,4,14,2,58,82,24,6,78,98,90,32,70,42,36,34,12,10,66,46,68,20,100,72,54,40,52,"BRCA.LumA"
40,28,74,84,18,68,52,2,38,34,56,60,14,70,12,96,94,8,6,92,32,62,58,24,86,76,82,90,78,22,16,54,98,100,36,72,66,20,10,4,64,50,30,46,80,88,48,44,26,42,"BRCA.LumA"
22,48,80,62,32,82,66,10,54,26,70,86,50,68,4,94,92,18,6,96,14,64,20,44,28,60,56,58,84,40,2,90,76,98,72,36,88,24,52,12,38,78,34,74,8,100,16,42,46,30,"BRCA.LumA"
26,64,80,72,34,82,60,6,52,48,58,74,36,62,8,86,98,22,12,96,4,66,32,42,24,50,16,84,76,40,2,68,94,88,54,20,92,28,18,14,90,78,46,70,10,100,30,56,38,44,"BRCA.LumA"
12,52,66,78,36,86,70,22,50,28,58,80,38,48,4,100,92,24,20,90,6,68,96,26,16,84,44,42,82,34,10,74,94,88,64,60,8,32,30,14,40,56,54,76,2,98,18,62,46,72,"BRCA.LumA"
6,70,62,92,54,72,50,22,48,46,12,80,42,76,18,96,94,14,4,90,8,44,68,66,58,40,36,88,82,34,2,84,86,98,52,78,10,32,16,24,28,20,30,60,74,100,56,64,38,26,"BRCA.LumA"
52,60,82,80,36,84,64,12,40,26,24,78,38,68,8,88,100,22,16,92,14,74,66,30,2,18,6,86,76,28,4,72,98,58,46,42,94,32,44,20,96,70,54,62,10,90,34,48,56,50,"BRCA.LumA"
30,46,74,82,12,76,54,2,42,22,52,66,28,68,10,88,98,14,44,92,8,72,58,34,70,78,64,90,80,16,4,60,94,86,18,56,84,20,24,6,96,36,32,38,48,100,62,50,26,40,"BRCA.LumA"
18,46,84,68,10,86,58,4,40,32,70,74,30,76,8,90,100,12,60,92,28,78,56,22,72,66,64,80,88,16,2,62,98,94,24,50,82,20,26,6,48,52,36,54,42,96,14,38,44,34,"BRCA.LumA"
26,38,68,80,56,66,50,2,48,54,24,76,14,40,10,86,88,16,6,98,12,62,18,36,72,78,74,96,70,28,4,34,90,92,84,52,58,22,32,20,100,60,30,44,64,94,8,42,82,46,"BRCA.LumA"
14,46,74,88,42,80,64,6,38,54,52,66,30,84,12,90,98,16,8,94,26,56,48,36,68,72,70,86,82,28,4,60,92,96,44,78,24,32,34,18,10,20,40,76,62,100,2,50,58,22,"BRCA.LumA"
40,54,90,78,36,76,72,10,46,64,16,68,32,74,12,86,100,26,14,96,22,84,44,42,4,6,2,88,80,28,8,70,92,82,34,66,50,38,30,20,94,60,52,62,18,98,24,58,48,56,"BRCA.LumA"
8,56,64,80,28,60,54,4,50,34,48,82,26,74,30,98,90,14,12,94,10,40,52,38,70,76,72,88,78,24,2,84,86,100,46,62,68,20,16,6,92,36,18,58,66,96,42,44,34,22,"BRCA.LumA"
20,60,74,70,32,38,72,8,46,24,16,88,50,58,6,80,96,22,76,100,12,64,18,34,52,54,40,78,68,48,2,82,92,98,66,90,86,36,30,14,84,10,56,28,26,94,4,62,42,44,"BRCA.LumA"
16,56,68,70,22,80,66,4,30,44,54,82,26,58,6,96,100,12,48,94,10,52,40,24,62,74,60,84,76,14,2,72,92,90,32,46,88,18,78,8,86,34,36,64,38,98,20,28,42,50,"BRCA.LumA"
22,40,86,82,18,76,54,4,36,28,68,58,26,70,10,96,90,8,50,92,14,72,56,34,52,44,46,84,78,20,2,60,98,94,24,66,88,16,12,6,74,42,38,48,64,100,80,62,32,30,"BRCA.LumA"
30,58,76,72,24,64,56,2,50,6,60,74,16,66,42,94,100,12,54,98,28,68,48,38,86,82,90,80,78,26,8,70,96,84,32,62,44,18,14,4,22,46,34,52,88,92,10,40,36,20,"BRCA.LumA"
32,24,76,86,26,60,56,2,46,30,52,72,28,54,6,98,92,14,8,100,20,58,64,40,90,62,70,68,74,16,10,66,94,78,38,80,88,18,22,4,82,44,42,48,84,96,12,50,34,36,"BRCA.LumA"
26,42,74,70,12,82,56,2,50,22,48,54,30,78,32,88,98,8,38,96,14,62,34,36,44,58,68,80,76,24,6,72,92,86,52,64,84,16,10,4,94,60,28,66,90,100,20,46,40,18,"BRCA.LumA"
22,18,66,62,12,58,56,2,30,36,86,46,24,78,44,88,80,6,32,84,28,60,42,16,96,94,90,74,70,14,48,54,82,98,50,72,64,4,8,10,76,68,26,52,100,92,38,34,40,20,"BRCA.LumA"
6,56,66,72,16,68,46,4,40,44,38,70,32,64,36,100,74,10,88,92,14,62,84,34,54,50,60,90,80,26,2,76,96,98,28,58,52,18,12,8,86,20,22,48,82,94,78,42,30,24,"BRCA.LumA"
38,62,94,80,16,76,64,22,70,16,26,72,44,86,36,88,96,10,30,92,24,78,50,46,4,6,8,56,82,54,4,68,90,100,42,58,74,20,28,12,84,66,32,60,52,98,18,48,34,40,"BRCA.LumA"
24,46,72,84,12,54,44,4,36,56,58,62,26,70,48,100,88,8,40,96,28,64,90,20,86,66,82,78,68,14,32,60,92,76,42,80,38,10,6,2,74,50,22,52,94,98,30,34,16,18,"BRCA.LumA"
36,54,76,32,28,84,66,8,52,42,46,78,40,82,10,86,96,26,4,94,6,62,18,48,68,70,64,60,92,38,2,80,88,98,74,50,90,22,20,16,58,12,24,72,34,100,14,56,44,30,"BRCA.LumA"
14,58,68,78,32,70,48,10,44,28,82,84,30,74,4,92,100,16,8,96,6,66,26,40,54,36,42,90,88,24,2,76,86,94,60,80,72,12,34,18,62,50,52,64,46,98,20,22,56,38,"BRCA.LumA"
30,22,78,72,28,70,60,2,46,18,44,58,26,56,6,100,90,12,42,94,14,62,80,34,88,86,76,66,82,16,8,54,96,92,38,68,40,20,24,4,84,64,50,48,74,98,10,52,32,36,"BRCA.LumA"
32,44,68,84,12,70,52,2,38,36,58,66,26,72,60,94,100,6,22,96,40,56,50,34,82,76,88,86,78,20,16,64,92,62,28,80,74,18,10,4,42,54,14,46,90,98,8,48,30,24,"BRCA.LumA"
16,42,76,82,62,72,60,2,38,24,58,74,32,52,6,90,96,14,8,92,18,70,44,28,88,94,80,40,84,36,28,54,98,86,68,78,34,22,30,12,10,20,46,66,64,100,4,50,56,48,"BRCA.LumA"
14,16,86,52,56,80,72,6,44,84,18,78,24,22,2,100,90,36,34,88,4,66,92,38,76,74,48,50,62,20,12,64,96,94,70,54,82,28,26,10,68,42,60,32,30,98,8,46,40,58,"BRCA.LumA"
14,64,96,88,26,84,70,6,58,52,22,78,42,76,10,90,100,18,32,94,8,72,54,56,44,24,34,62,86,48,2,82,92,80,40,60,16,30,20,12,68,46,38,66,36,98,4,74,50,28,"BRCA.LumA"
54,28,78,82,34,70,62,4,40,22,66,64,24,76,10,90,98,8,58,100,20,74,68,42,16,38,12,84,80,14,2,56,92,96,32,72,94,18,26,6,88,60,30,46,50,86,52,44,36,48,"BRCA.LumA"
54,34,74,76,8,60,48,4,22,24,70,52,18,58,50,96,82,10,28,80,40,66,68,26,88,98,84,72,64,20,44,46,94,62,30,78,92,6,16,2,86,56,14,32,90,100,38,42,12,36,"BRCA.LumA"
62,38,90,74,26,88,76,8,24,16,34,64,14,72,2,94,98,22,78,92,10,86,66,28,68,70,46,32,84,18,6,42,100,80,30,58,82,12,40,20,4,60,48,56,36,96,54,44,50,52,"BRCA.LumA"
26,48,82,58,24,76,64,6,44,16,54,68,32,70,4,92,84,18,28,94,12,62,60,20,88,30,80,74,72,34,2,66,96,98,42,86,90,14,22,8,78,50,46,56,10,100,38,52,36,40,"BRCA.LumA"
40,34,74,82,14,78,46,2,42,22,54,56,26,76,48,92,100,4,6,94,36,68,52,32,66,58,62,90,80,16,8,60,96,86,30,70,88,14,50,10,84,64,28,44,72,98,20,38,26,18,"BRCA.LumA"
26,52,84,80,24,76,60,10,48,64,54,68,32,78,44,90,94,16,22,88,18,66,62,40,6,14,4,86,82,28,2,70,92,98,42,72,58,20,12,8,96,36,34,50,46,100,74,56,30,38,"BRCA.LumA"
30,66,80,74,22,54,64,18,44,36,16,88,50,76,46,92,98,38,62,90,26,84,56,42,4,6,8,10,82,40,2,86,96,94,60,48,24,20,34,14,12,78,28,72,70,100,68,58,52,34,"BRCA.LumA"
36,48,80,66,10,70,52,4,46,28,60,54,14,56,12,98,90,2,84,96,34,76,62,22,82,68,78,74,86,30,18,42,94,100,26,64,88,16,24,6,8,50,32,38,58,92,72,44,22,40,"BRCA.LumA"
46,60,80,84,42,66,54,16,50,52,38,70,40,74,10,92,98,24,32,94,12,64,68,44,8,20,6,88,82,30,2,76,90,78,28,72,86,26,22,14,96,48,18,58,4,100,62,56,36,34,"BRCA.LumA"
32,50,82,86,10,62,34,4,30,24,48,54,26,66,56,98,96,12,52,90,46,60,70,28,64,72,74,88,78,16,2,58,94,80,38,84,68,14,8,6,92,42,18,44,76,100,40,36,22,20,"BRCA.LumA"
34,72,76,80,42,66,70,14,48,58,30,78,40,84,22,96,100,18,6,92,26,64,62,50,16,8,10,94,88,32,2,82,90,86,56,68,28,24,20,12,44,60,36,74,54,98,4,52,46,38,"BRCA.LumA"
60,48,78,80,24,76,66,16,22,58,62,64,18,74,10,94,100,34,8,96,28,70,54,20,44,46,40,82,86,30,2,68,92,90,50,84,88,6,32,14,26,72,36,52,12,98,4,38,42,56,"BRCA.LumA"
4,42,50,52,22,80,76,6,36,20,72,74,38,66,12,100,70,16,32,90,8,58,84,26,78,86,62,40,56,28,2,88,92,98,68,54,94,14,18,10,30,46,44,82,24,96,64,60,48,34,"BRCA.LumA"
64,42,90,88,34,72,66,10,44,52,6,62,30,78,8,86,100,14,2,94,28,74,70,38,26,22,16,76,82,20,4,68,92,80,18,84,50,40,24,32,96,58,46,60,56,98,12,54,36,48,"BRCA.LumA"
26,60,88,74,14,72,66,6,46,16,52,70,22,68,32,92,96,10,4,98,18,84,40,20,56,62,58,78,80,44,4,76,100,86,28,54,90,24,12,8,42,82,36,50,64,94,48,34,30,38,"BRCA.LumA"
22,40,74,54,16,80,64,2,32,24,42,72,20,62,12,88,96,26,4,92,6,56,44,38,90,86,82,70,66,28,8,68,98,76,36,58,94,18,34,10,84,60,48,52,78,100,14,50,30,46,"BRCA.LumA"
58,48,82,54,22,74,60,10,52,18,38,66,36,76,14,88,100,34,92,98,32,84,64,42,6,2,8,78,80,30,4,62,96,72,56,68,94,20,28,16,12,86,40,70,26,90,24,46,44,50,"BRCA.LumA"
26,44,86,74,20,58,50,2,30,18,80,56,32,62,42,98,94,6,64,90,34,60,54,16,82,88,84,76,72,22,12,66,92,96,48,78,70,8,10,4,52,36,24,46,68,100,38,28,40,14,"BRCA.LumA"
12,34,74,72,20,86,66,6,38,26,42,90,40,56,16,82,94,18,4,92,24,50,14,22,68,48,62,76,80,32,2,78,96,100,54,52,88,28,30,8,70,64,58,36,84,98,10,46,60,44,"BRCA.LumA"
38,30,66,76,16,54,42,2,32,26,56,44,28,64,52,92,80,6,72,86,48,60,58,24,100,90,96,82,74,12,34,46,88,70,20,78,50,8,10,4,84,62,18,36,94,98,68,40,22,14,"BRCA.LumA"
34,54,82,78,38,74,58,10,22,46,30,64,28,80,8,90,98,18,70,92,6,68,62,24,44,52,50,88,86,40,4,76,94,96,66,84,72,20,26,12,32,14,18,60,42,100,2,56,48,36,"BRCA.LumA"
2,58,74,60,24,76,68,6,56,18,50,84,34,72,22,92,88,16,40,98,20,46,32,48,66,62,70,4,82,28,8,90,80,94,44,64,78,26,30,10,54,14,36,86,96,100,12,52,42,38,"BRCA.LumA"
22,42,68,72,12,78,56,6,34,28,60,58,24,80,32,88,98,16,8,96,18,66,44,20,82,84,76,90,86,14,4,62,94,92,48,46,74,12,50,26,70,64,30,54,52,100,2,36,38,40,"BRCA.LumA"
44,40,82,88,22,76,62,4,50,26,24,74,32,72,10,90,94,16,2,98,12,66,52,38,54,56,60,84,80,20,6,70,96,78,18,68,86,28,30,14,92,48,46,58,64,100,8,34,36,42,"BRCA.LumA"
48,34,70,72,12,58,50,2,22,14,74,52,20,54,42,88,94,4,36,86,38,66,62,20,96,90,84,78,76,10,56,46,92,68,16,60,82,8,24,6,80,64,30,26,100,98,44,40,28,32,"BRCA.LumA"
26,58,70,82,22,78,64,8,52,24,12,76,28,72,4,86,98,18,36,94,6,74,56,38,50,40,46,84,80,20,2,68,90,92,48,54,96,34,16,10,88,60,30,66,32,100,14,62,42,44,"BRCA.LumA"
12,48,66,64,28,80,46,6,34,30,70,62,22,76,50,92,88,10,8,96,38,54,52,24,84,72,78,90,74,18,14,68,94,100,32,60,82,20,36,4,44,56,42,58,86,98,2,16,26,40,"BRCA.LumA"
8,70,60,76,64,84,66,16,54,80,28,74,42,62,6,98,82,26,30,90,4,86,88,46,32,44,34,12,72,18,2,78,92,100,52,50,96,24,22,14,10,48,38,68,20,94,56,58,40,36,"BRCA.LumB"
40,68,58,56,42,90,74,14,66,30,50,84,64,82,22,86,98,32,18,96,12,60,24,48,2,10,6,72,76,34,4,94,88,100,78,62,16,26,36,38,20,80,46,70,8,92,28,44,54,52,"BRCA.LumB"
24,50,70,56,46,82,74,18,42,54,64,78,44,80,10,90,98,30,16,92,14,60,32,38,2,6,8,84,88,26,6,72,86,96,68,34,76,22,40,20,94,66,62,52,12,100,28,36,58,48,"BRCA.LumB"
24,80,66,56,36,70,68,16,60,34,20,86,44,74,22,76,100,48,18,96,14,62,32,42,8,30,10,52,82,58,2,88,94,98,84,38,78,28,40,12,6,26,64,90,4,92,50,46,72,54,"BRCA.LumB"
24,60,56,66,70,76,78,6,58,54,26,80,46,64,8,92,98,22,86,96,16,62,50,50,12,18,14,44,72,36,2,88,90,94,82,84,52,32,34,30,4,28,38,68,10,100,20,40,74,42,"BRCA.LumB"
18,58,54,64,52,28,80,10,74,44,38,92,40,48,6,82,98,34,14,90,4,42,26,66,20,24,22,84,60,32,2,94,96,86,70,62,78,36,30,16,76,88,50,56,8,100,12,68,72,46,"BRCA.LumB"
32,82,68,42,60,70,74,16,76,34,10,90,56,30,12,78,98,40,36,96,14,48,24,66,2,4,6,20,80,44,8,88,84,100,94,92,26,46,64,28,72,58,38,50,18,86,22,62,52,54,"BRCA.LumB"
14,84,74,80,40,68,82,6,70,30,4,90,36,72,12,94,88,26,62,92,18,64,32,52,50,22,34,10,78,48,2,86,98,100,66,46,16,42,44,8,38,28,54,76,20,96,24,58,60,56,"BRCA.LumB"
20,56,74,66,42,72,68,12,64,36,62,88,52,70,8,84,100,26,18,96,16,58,34,48,2,10,14,90,76,32,4,80,94,86,44,28,24,40,30,22,92,60,50,82,6,98,46,78,54,38,"BRCA.LumB"
28,60,88,24,80,82,84,18,52,48,58,66,44,40,8,90,96,42,10,92,20,64,34,50,6,14,4,62,78,32,2,74,94,98,56,38,54,36,46,26,16,30,72,76,12,100,22,86,68,70,"BRCA.LumB"
38,70,88,76,42,86,62,16,60,58,14,72,50,44,28,96,100,40,20,94,26,74,66,48,6,8,2,24,84,36,4,78,98,68,34,82,80,30,32,22,12,18,52,64,10,90,92,54,46,56,"BRCA.LumB"
56,66,82,80,34,62,70,18,52,30,26,76,44,68,6,88,96,28,8,86,12,64,58,38,4,16,2,92,74,40,10,72,84,90,60,78,98,32,42,20,100,22,36,46,14,94,24,54,50,48,"BRCA.LumB"
10,62,56,28,50,68,72,14,58,60,48,78,46,80,4,96,94,30,70,92,8,38,36,54,34,32,16,20,86,74,2,82,90,98,84,88,64,22,26,12,44,18,40,76,24,100,6,52,66,42,"BRCA.LumB"
6,72,76,84,34,78,62,10,44,32,46,74,40,70,8,88,98,14,58,90,4,64,36,28,22,12,20,82,68,26,2,80,96,94,56,60,92,38,18,50,86,30,24,66,16,100,52,54,48,42,"BRCA.LumB"
18,46,80,74,36,30,66,4,44,62,42,68,38,78,12,90,98,20,6,94,10,70,50,56,24,28,34,82,92,26,2,84,96,86,54,72,64,22,32,14,88,8,40,76,48,100,16,60,58,52,"BRCA.LumB"
30,66,64,80,44,74,60,18,72,48,14,86,34,84,14,94,98,46,6,96,10,70,42,32,22,16,20,88,82,26,2,78,92,90,62,52,76,40,38,8,36,58,28,68,24,100,4,50,54,56,"BRCA.LumB"
18,76,40,30,52,54,86,16,66,46,22,90,34,60,12,92,98,50,36,96,14,64,32,56,4,10,8,70,68,38,2,82,84,100,78,74,24,28,48,26,94,42,62,72,6,88,20,44,80,58,"BRCA.LumB"
28,64,70,34,52,76,68,4,38,86,32,84,40,48,8,100,88,36,82,90,10,78,94,30,12,20,14,62,60,56,2,80,92,98,72,74,6,24,26,22,16,44,42,58,18,96,66,50,54,46,"BRCA.LumB"
22,64,84,70,52,80,72,16,58,38,32,90,44,66,10,86,100,28,6,94,8,60,26,54,12,18,14,82,74,46,2,88,92,98,40,30,76,34,42,20,48,68,50,78,4,96,24,62,56,36,"BRCA.LumB"
32,58,80,70,50,56,64,14,48,52,18,68,34,76,22,94,100,24,60,96,20,74,82,38,6,4,10,88,86,42,2,78,92,90,62,84,16,40,36,28,26,46,30,72,12,98,8,66,54,44,"BRCA.LumB"
12,72,42,60,44,62,56,14,90,48,82,86,28,66,24,80,88,38,22,98,4,26,30,74,6,20,8,94,68,46,2,84,64,100,76,92,34,36,50,18,52,78,40,54,10,96,16,58,70,32,"BRCA.LumB"
18,78,56,66,84,80,72,30,54,50,16,70,62,74,14,90,98,28,24,94,22,60,40,52,26,20,46,6,86,42,2,92,68,82,96,64,12,38,48,36,4,8,36,88,32,100,10,76,58,44,"BRCA.LumB"
8,72,64,52,38,78,60,10,66,56,28,86,34,54,14,100,96,20,68,90,12,44,84,46,48,62,50,80,82,42,2,88,92,98,70,30,76,24,26,18,4,36,22,74,16,94,6,40,58,32,"BRCA.LumB"
14,58,60,76,38,36,64,22,48,66,32,84,54,62,16,96,98,18,4,90,8,68,30,40,34,44,56,88,70,24,6,92,86,94,52,80,82,20,26,10,12,72,28,78,74,100,2,46,50,42,"BRCA.LumB"
32,36,66,90,48,82,78,4,56,34,22,68,38,70,6,84,98,28,18,94,8,62,26,46,42,58,44,76,74,20,2,52,88,92,86,80,60,12,30,16,96,10,40,72,24,100,14,64,54,50,"BRCA.LumB"
26,56,76,8,62,88,72,12,52,28,70,82,48,36,32,90,100,40,24,98,6,60,64,34,16,38,10,42,86,22,2,78,80,74,84,92,14,30,54,20,18,94,46,66,4,96,44,50,68,58,"BRCA.LumB"
20,82,40,60,64,70,72,14,68,46,8,86,50,66,18,96,94,32,56,98,10,42,54,58,4,6,16,22,74,48,2,100,88,90,84,78,34,36,44,26,30,38,28,80,12,92,24,62,76,52,"BRCA.LumB"
30,54,76,34,38,68,82,22,80,44,26,90,60,32,6,92,98,28,14,96,4,70,24,72,12,20,16,86,74,58,2,84,88,100,78,56,50,42,52,18,46,36,66,40,10,94,8,62,64,48,"BRCA.LumB"
26,74,72,56,52,44,76,24,60,68,16,90,38,62,22,96,100,36,80,98,20,48,28,58,4,18,10,34,82,40,2,88,94,86,78,64,70,32,42,30,12,14,46,84,6,92,8,54,66,50,"BRCA.LumB"
20,80,48,56,78,82,58,12,70,36,24,94,54,64,62,88,86,44,16,96,14,68,42,52,2,10,4,30,84,26,6,90,92,98,74,72,38,28,50,32,22,18,40,76,8,100,34,66,60,46,"BRCA.LumB"
22,60,86,92,34,78,66,26,44,62,18,76,56,74,12,96,98,28,50,94,20,58,80,54,4,6,4,36,82,48,8,90,84,88,68,64,24,40,38,32,10,30,42,72,14,100,16,70,52,46,"BRCA.LumB"
18,52,84,90,30,80,68,4,76,38,50,58,42,54,6,86,92,24,22,98,12,74,40,56,14,26,16,10,82,44,2,78,88,100,64,94,46,34,28,36,8,70,32,62,20,96,66,72,60,48,"BRCA.LumB"
30,38,74,44,86,84,76,8,66,64,12,88,48,26,2,94,98,46,10,92,16,62,32,54,18,36,14,68,82,34,4,72,96,52,58,24,90,40,50,28,56,20,80,60,6,100,22,42,78,70,"BRCA.LumB"
42,50,88,90,58,78,60,12,54,52,6,76,48,84,26,92,96,22,18,94,10,70,68,46,14,20,8,32,86,40,2,80,98,74,56,72,82,30,34,24,66,28,36,64,16,100,4,62,44,38,"BRCA.LumB"
10,56,68,62,34,74,70,6,64,38,26,84,66,54,12,96,94,36,20,92,4,60,18,52,30,58,46,86,78,44,2,88,90,100,82,76,72,14,24,16,80,32,22,40,8,98,28,50,48,42,"BRCA.LumB"
18,40,58,86,52,84,70,14,60,64,24,78,38,76,4,96,98,26,34,92,8,66,50,54,68,56,36,16,88,32,6,82,90,94,74,80,10,20,30,22,2,42,48,72,28,100,12,44,62,46,"BRCA.LumB"
20,58,76,32,24,64,60,8,44,86,56,74,42,68,16,100,90,34,6,88,18,70,96,38,72,78,80,26,66,48,4,84,94,92,82,54,12,30,22,28,2,14,40,62,52,98,10,46,50,36,"BRCA.LumB"
14,68,62,74,30,80,64,12,66,82,22,88,42,52,8,100,86,34,26,94,18,50,90,48,6,10,4,32,70,46,2,84,92,98,72,54,78,36,40,22,24,38,44,76,16,96,28,58,60,56,"BRCA.LumB"
24,52,72,60,62,66,76,10,70,40,32,74,48,78,18,90,100,20,30,94,16,68,26,64,14,12,8,44,80,46,2,88,86,96,82,58,92,34,54,22,38,28,36,84,6,98,4,42,56,50,"BRCA.LumB"
14,26,66,72,42,58,74,8,48,62,16,78,36,76,6,86,100,28,2,94,10,40,38,46,20,24,30,90,70,44,4,82,88,98,68,84,92,22,34,18,64,54,52,80,32,96,12,60,50,56,"BRCA.LumB"
28,56,74,76,48,72,70,6,46,62,14,84,50,80,4,96,100,30,10,92,8,66,64,38,24,18,20,94,78,32,2,68,86,88,58,82,40,26,34,12,90,36,44,54,22,98,16,60,42,52,"BRCA.LumB"
34,76,78,46,74,66,64,28,58,44,12,86,62,60,14,94,100,32,18,92,22,20,36,48,8,10,4,56,88,50,4,90,82,96,72,80,70,30,40,26,16,68,38,84,24,98,6,42,54,52,"BRCA.LumB"
