"ACTR3B","ANLN","BAG1","BCL2","BIRC5","BLVRA","CCNB1","CCNE1","CDC20","CDC6","CDH3","CENPF","CEP55","CXXC5","EGFR","ERBB2","ESR1","EXO1","FGFR4","FOXA1","FOXC1","GPR160","GRB7","KIF2C","KRT14","KRT17","KRT5","MAPT","MDM2","MELK","MIA","MKI67","MLPH","MMP11","MYBL2","MYC","NAT1","NDC80","NUF2","ORC6L","PGR","PHGDH","PTTG1","RRM2","SFRP1","SLC39A6","TMEM45B","TYMS","UBE2C","UBE2T","subtype"
12,64,66,62,52,60,76,6,54,36,38,86,46,78,8,96,100,24,82,94,10,72,28,50,16,30,40,34,88,22,2,90,92,84,74,70,48,14,26,18,4,20,32,80,42,98,56,58,68,44,"BRCA.LumB"
40,50,70,86,42,78,68,22,60,66,48,76,32,84,6,94,100,34,90,98,18,82,80,58,4,12,4,20,88,38,8,72,96,54,52,74,24,30,26,28,16,14,36,62,10,92,56,64,44,46,"BRCA.LumB"
26,60,84,78,38,76,66,16,54,28,14,80,42,72,22,86,92,30,8,96,18,68,32,50,10,6,4,74,88,40,2,82,98,90,52,64,94,36,62,24,70,34,44,58,20,100,12,48,46,56,"BRCA.LumB"
12,48,64,44,38,68,70,32,30,62,60,72,54,82,4,94,100,36,74,92,8,52,50,34,18,20,24,80,88,40,2,78,90,96,84,76,58,16,14,28,6,22,42,86,10,98,26,56,66,46,"BRCA.LumB"
18,62,68,58,38,64,70,10,52,50,22,88,40,66,6,92,96,24,74,90,4,72,32,44,8,16,12,20,80,46,2,86,84,94,76,78,82,30,26,14,42,60,28,48,100,98,34,56,54,36,"BRCA.LumB"
6,74,80,70,32,82,62,8,54,38,40,86,42,68,16,92,84,28,4,96,10,64,56,30,34,52,50,72,78,44,2,88,90,98,58,66,94,20,36,14,60,12,22,76,24,100,18,26,46,48,"BRCA.LumB"
34,48,66,54,28,74,70,18,46,32,14,84,56,78,16,90,98,42,22,94,8,80,62,36,12,6,4,88,76,40,2,82,92,96,68,52,86,26,38,24,20,64,30,72,10,100,50,46,58,60,"BRCA.LumB"
38,62,82,70,46,48,64,18,40,58,20,74,42,86,22,90,100,30,12,96,24,68,66,34,18,10,4,92,76,52,2,84,88,94,50,80,78,26,32,28,14,54,36,72,8,98,6,56,60,44,"BRCA.LumB"
34,76,82,78,32,86,66,8,52,36,22,90,44,70,14,58,98,26,74,96,16,72,68,60,4,46,6,24,84,28,2,80,92,100,54,88,42,30,38,20,10,12,40,62,18,94,64,48,50,56,"BRCA.LumB"
10,64,42,20,50,58,76,12,60,66,28,92,62,56,6,98,86,40,78,94,4,72,44,46,24,32,26,70,74,36,2,90,80,100,82,84,52,16,38,14,88,30,34,54,8,96,18,22,68,48,"BRCA.LumB"
12,38,82,86,48,72,68,8,56,46,32,80,42,64,4,92,94,14,8,90,16,50,36,54,20,22,26,76,88,34,2,84,98,96,60,44,74,52,40,24,78,18,66,62,28,100,10,70,58,30,"BRCA.LumB"
32,70,74,86,44,78,68,12,42,54,20,84,38,88,8,90,98,34,22,92,6,52,36,56,14,18,16,76,82,46,2,80,94,96,72,66,24,58,50,26,64,30,40,62,10,100,4,30,60,48,"BRCA.LumB"
16,64,58,84,50,62,70,10,48,66,36,78,44,80,8,98,94,34,90,96,6,56,52,46,22,12,20,88,76,30,2,82,74,92,72,86,14,32,38,26,18,24,40,68,28,100,4,54,60,42,"BRCA.LumB"
18,70,66,80,24,72,56,12,58,34,52,86,40,62,4,84,98,42,8,96,16,74,50,46,10,20,14,78,76,26,2,82,90,88,30,32,92,28,44,22,94,60,36,68,6,100,64,48,38,54,"BRCA.LumB"
30,68,58,74,44,66,52,10,40,60,38,80,54,78,20,92,96,18,8,88,6,62,36,50,16,12,34,90,82,28,2,84,94,100,72,76,46,22,24,26,86,64,14,70,56,98,4,42,48,32,"BRCA.LumB"
28,56,92,90,24,88,72,12,42,34,40,80,46,66,4,86,98,22,54,96,6,76,44,38,18,16,10,26,82,48,2,84,94,78,62,68,30,36,54,32,70,8,50,74,14,100,20,60,58,64,"BRCA.LumB"
32,42,78,22,66,58,88,20,82,46,52,86,44,24,4,96,94,54,40,90,16,50,26,76,10,12,14,74,64,36,2,80,68,100,92,98,18,30,34,28,48,38,70,56,8,84,6,60,62,72,"BRCA.LumB"
22,64,48,30,44,70,82,16,66,46,56,94,38,52,12,96,84,42,18,98,14,34,28,50,8,8,4,68,74,36,2,78,90,100,76,86,88,40,32,26,54,20,62,80,10,92,24,58,60,72,"BRCA.LumB"
12,62,68,32,54,66,56,10,46,58,36,82,30,78,8,94,96,24,38,90,6,50,42,44,28,40,22,92,76,18,4,84,86,98,64,72,80,14,34,16,20,60,74,88,26,100,2,52,70,48,"BRCA.LumB"
26,56,74,70,30,76,62,20,50,54,6,78,40,64,10,94,98,38,16,96,8,66,52,48,4,12,14,88,72,36,2,84,92,86,58,44,90,28,32,24,82,80,34,68,22,100,18,60,42,46,"BRCA.LumB"
18,56,42,70,44,64,80,20,32,48,24,90,50,72,10,98,96,40,14,88,16,38,46,34,6,8,4,76,62,28,2,84,92,94,78,82,54,30,36,22,86,58,60,68,26,100,12,66,52,74,"BRCA.LumB"
14,68,74,64,44,62,52,4,46,12,48,90,56,70,20,92,84,22,16,94,10,58,24,34,40,66,50,8,80,28,2,88,96,100,82,86,78,36,32,6,76,18,30,72,26,98,38,54,60,42,"BRCA.LumB"
20,56,66,52,34,70,54,12,64,86,18,84,40,58,22,100,88,36,68,94,14,74,90,46,4,6,8,48,80,44,2,78,92,98,82,50,76,26,28,24,38,60,32,72,10,96,16,30,62,42,"BRCA.LumB"
32,48,62,84,38,82,68,20,60,56,8,72,42,76,16,94,98,28,10,96,14,66,52,58,6,14,4,90,80,26,2,86,88,70,46,54,92,34,30,22,78,74,50,64,18,100,24,36,44,40,"BRCA.LumB"
22,52,54,76,40,66,72,10,62,56,64,80,30,78,12,88,98,32,8,94,4,60,38,42,18,24,16,92,70,26,2,86,82,96,74,84,68,28,34,14,90,36,44,48,6,100,20,46,50,58,"BRCA.LumB"
22,44,90,86,30,74,76,18,54,48,60,70,32,68,10,88,98,26,16,94,12,62,56,52,2,6,4,84,82,20,8,78,92,72,38,64,80,34,24,28,96,42,50,58,14,100,40,66,36,46,"BRCA.LumB"
16,56,72,84,66,58,68,10,52,62,32,82,20,74,34,86,96,22,4,90,12,40,28,50,54,44,48,98,70,60,6,80,88,94,78,76,14,30,38,26,92,8,24,46,64,100,2,18,42,36,"BRCA.LumB"
26,56,48,86,80,76,74,24,62,52,34,72,50,66,6,90,100,18,16,96,14,46,36,42,2,10,8,88,92,28,4,70,82,98,44,78,20,32,30,22,84,54,64,68,12,94,40,38,60,58,"BRCA.LumB"
26,58,84,90,60,82,68,8,46,50,36,78,40,76,10,98,96,12,56,94,16,72,38,32,30,28,20,14,80,24,4,74,92,88,52,62,86,22,34,18,6,54,64,70,66,100,2,42,48,44,"BRCA.LumB"
14,48,86,16,34,70,58,12,54,28,50,80,40,68,8,100,84,30,88,96,4,82,92,44,20,32,18,66,74,62,2,76,94,98,72,38,64,24,22,10,6,56,36,78,26,90,60,42,52,46,"BRCA.LumB"
32,66,72,70,42,88,62,14,52,36,54,80,44,58,4,82,98,34,16,92,10,64,24,30,8,12,6,76,74,28,2,84,94,86,68,38,96,26,40,18,90,78,46,56,22,100,20,48,60,50,"BRCA.LumB"
44,58,62,74,50,56,48,4,78,36,10,82,66,68,12,88,98,14,24,94,8,54,22,60,34,18,30,86,72,42,2,92,80,100,76,90,46,42,26,6,84,38,20,70,32,96,28,64,52,16,"BRCA.LumB"
22,70,44,78,30,52,64,20,66,80,26,88,50,60,14,98,96,38,18,84,14,40,72,58,2,6,16,82,62,34,4,90,76,94,74,68,86,32,28,24,92,56,36,48,8,100,10,54,46,42,"BRCA.LumB"
22,64,58,50,42,80,74,12,54,56,76,90,46,66,14,92,100,28,10,96,8,48,38,60,6,18,4,78,72,36,2,86,88,94,82,34,20,30,26,32,84,68,40,70,16,98,24,44,62,52,"BRCA.LumB"
20,70,68,44,42,76,66,4,80,22,58,88,62,52,8,84,90,26,24,94,10,50,6,48,32,56,30,60,86,46,2,92,96,100,78,64,82,36,28,16,12,38,34,72,14,98,18,40,74,54,"BRCA.LumB"
8,76,46,40,34,82,58,4,56,66,48,88,38,68,10,96,90,36,70,94,6,20,44,52,24,50,28,80,78,30,2,86,92,100,84,62,18,16,22,14,64,54,26,72,12,98,32,60,74,42,"BRCA.LumB"
16,54,64,58,42,86,72,18,40,74,50,82,30,78,6,96,98,32,8,92,10,70,62,36,12,14,20,60,80,26,4,68,94,84,44,66,90,28,34,24,88,56,46,76,22,100,2,38,52,48,"BRCA.LumB"
30,62,74,58,36,72,56,12,50,68,44,86,54,76,20,98,100,40,80,94,10,88,66,48,18,14,22,8,84,42,2,92,90,64,82,24,28,26,34,32,6,70,38,78,16,96,4,52,60,46,"BRCA.LumB"
26,68,86,84,40,70,44,20,56,60,52,88,54,64,12,94,98,24,30,92,16,72,66,50,4,6,2,80,78,42,8,90,96,82,46,76,36,38,32,14,12,58,28,62,18,100,22,74,48,34,"BRCA.LumB"
16,62,78,56,36,64,70,8,50,24,18,90,40,68,10,86,98,48,22,94,6,76,26,52,42,54,34,74,72,44,2,82,92,100,66,14,88,28,38,20,4,80,30,84,12,96,32,60,46,58,"BRCA.LumB"
20,64,74,34,48,68,76,12,56,52,24,84,42,72,14,92,96,26,78,94,8,66,38,62,46,60,50,16,88,58,2,82,90,98,86,32,40,28,30,22,6,10,44,80,18,100,4,54,70,36,"BRCA.LumB"
20,44,74,86,32,70,66,12,52,72,46,80,48,76,8,98,94,24,4,92,6,58,88,42,16,18,10,34,82,30,2,84,90,96,62,50,78,36,26,14,64,60,40,68,22,100,28,54,56,38,"BRCA.LumB"
24,64,72,82,52,62,58,6,42,54,20,78,44,70,16,80,92,28,4,96,14,36,48,38,8,18,10,100,60,66,2,94,84,86,90,88,26,50,46,34,56,32,22,76,12,98,30,74,68,40,"BRCA.LumB"
10,70,80,68,42,84,78,6,54,52,14,90,36,82,4,92,96,26,12,94,8,38,40,50,32,24,18,44,76,46,2,74,98,88,64,58,86,28,56,16,20,34,48,72,30,100,22,66,62,60,"BRCA.LumB"
16,54,90,92,62,64,68,14,36,56,48,74,58,84,10,94,96,24,66,98,12,76,42,44,26,20,30,28,78,34,2,80,86,82,60,72,6,40,32,38,8,50,46,88,22,100,4,70,52,18,"BRCA.LumB"
22,72,70,74,40,54,66,26,60,44,18,88,36,82,8,100,98,28,90,94,16,56,52,42,6,4,10,24,62,50,2,84,92,78,68,96,48,30,38,20,34,64,32,80,14,86,12,76,58,46,"BRCA.LumB"
32,68,64,16,52,76,74,20,60,54,18,82,30,50,12,94,100,36,42,96,10,66,28,44,4,6,4,90,92,56,8,78,86,62,70,58,88,34,38,24,84,80,40,72,22,98,14,26,46,48,"BRCA.LumB"
26,64,70,34,48,86,74,10,66,42,24,78,36,50,14,90,92,30,68,100,16,84,28,38,6,60,12,46,80,40,2,52,94,98,72,18,88,22,44,54,8,76,56,62,4,96,20,32,82,58,"BRCA.LumB"
16,48,72,68,34,58,64,10,38,56,18,84,46,66,8,96,94,32,14,90,6,62,70,40,52,50,36,92,76,26,2,80,88,100,74,78,86,22,30,12,82,4,20,44,24,98,28,60,54,42,"BRCA.LumB"
26,64,60,74,38,68,40,12,34,52,48,78,42,80,8,82,100,24,10,92,6,62,20,36,50,56,44,94,88,22,2,86,84,96,76,58,90,16,18,14,66,70,32,72,28,98,4,46,54,30,"BRCA.LumB"
26,44,78,72,62,70,74,22,58,36,34,82,40,80,16,90,98,24,2,94,32,60,46,66,8,8,8,86,92,48,14,88,96,84,76,64,28,42,38,30,12,20,50,52,18,100,10,68,54,56,"BRCA.LumB"
20,54,66,74,38,70,64,8,48,52,12,80,40,88,14,86,94,24,4,92,6,44,42,36,56,32,46,76,78,30,2,84,90,98,82,62,96,18,34,16,68,22,28,60,26,100,10,58,72,50,"BRCA.LumB"
28,36,82,62,48,66,58,16,50,52,8,80,42,26,4,98,72,24,40,92,6,86,60,46,12,18,14,78,84,34,2,76,90,100,74,94,88,30,32,20,64,54,38,70,10,96,22,68,44,56,"BRCA.LumB"
22,56,62,58,46,82,64,16,72,48,74,80,38,70,14,78,100,20,32,94,12,66,24,60,2,8,4,54,76,34,6,86,90,98,52,88,44,26,28,30,96,84,40,68,10,92,18,36,50,42,"BRCA.LumB"
12,50,68,90,28,60,64,8,76,46,24,84,34,70,16,86,98,22,40,96,38,48,36,62,18,10,14,92,80,58,2,88,82,74,66,52,26,44,30,20,94,72,32,56,6,100,4,78,54,42,"BRCA.LumB"
22,62,66,42,40,88,72,14,64,26,28,84,46,50,12,58,98,32,38,94,10,74,16,60,4,6,8,70,76,44,2,90,92,96,80,24,86,34,36,30,56,82,54,78,18,100,20,48,68,52,"BRCA.LumB"
18,60,90,72,34,54,62,24,58,30,8,74,48,68,6,80,94,26,16,92,4,36,38,64,20,44,14,76,66,70,2,84,86,100,96,78,10,22,40,28,98,56,42,50,12,88,52,46,82,32,"BRCA.LumB"
24,64,78,66,32,34,72,16,58,52,20,82,50,80,18,88,98,28,14,94,10,44,62,60,6,8,6,84,76,46,6,90,92,100,48,70,22,40,38,26,86,30,54,74,12,96,36,68,56,42,"BRCA.LumB"
30,52,56,70,54,50,72,90,66,42,60,80,38,62,6,94,100,22,8,92,4,20,44,46,24,18,38,88,68,26,2,76,86,96,78,84,40,16,28,14,82,64,48,58,12,98,10,34,74,32,"BRCA.LumB"
30,46,64,82,52,74,56,22,38,54,20,72,36,80,10,94,98,28,16,92,12,68,40,42,4,6,8,84,88,34,2,78,86,96,70,66,90,24,32,26,76,58,48,62,14,100,18,50,60,44,"BRCA.LumB"
42,54,80,90,36,66,64,14,30,58,10,74,48,78,8,82,92,38,6,94,16,50,56,40,12,18,20,86,98,28,2,76,88,96,68,70,72,32,26,22,84,46,34,60,24,100,4,62,52,44,"BRCA.LumB"
34,36,70,84,44,66,60,16,46,42,54,76,48,68,18,94,98,26,78,96,12,74,62,56,6,8,4,82,92,30,4,72,90,88,40,86,80,32,28,22,10,20,38,52,24,100,14,64,58,50,"BRCA.LumB"
36,40,88,84,48,82,70,16,52,30,22,74,34,72,4,90,98,20,8,94,10,76,56,46,18,26,14,86,78,38,2,66,96,92,50,58,80,44,32,24,42,28,60,62,14,100,6,64,68,54,"BRCA.LumB"
14,52,72,90,22,68,62,6,54,56,20,80,42,82,12,98,100,28,38,94,10,60,78,48,40,36,44,66,70,50,2,76,92,84,86,88,18,26,34,16,4,8,32,74,24,96,30,64,58,46,"BRCA.LumB"
18,76,26,34,48,80,64,22,66,68,78,88,44,50,8,92,100,40,24,96,16,52,38,56,2,14,4,20,74,54,6,94,70,82,90,58,32,28,60,36,30,46,42,84,10,98,12,62,86,72,"BRCA.LumB"
16,48,88,84,44,78,74,6,40,36,52,70,38,76,4,86,98,18,12,96,10,72,56,26,30,42,32,92,82,28,2,64,94,80,46,58,34,24,20,14,90,8,54,50,22,100,68,62,66,60,"BRCA.LumB"
14,62,64,86,40,80,70,10,60,20,54,88,28,78,4,84,98,26,12,92,6,68,16,56,38,44,36,76,72,22,2,74,94,100,52,42,82,32,18,34,90,26,46,66,8,96,58,50,48,30,"BRCA.LumB"
12,46,86,84,24,70,76,10,52,44,66,78,40,54,6,94,96,4,42,98,14,72,20,22,48,50,38,8,92,26,2,80,82,88,30,68,90,28,36,18,58,32,34,74,64,100,16,60,62,56,"BRCA.LumB"
14,38,68,86,40,76,44,8,52,54,16,82,64,80,6,92,96,18,12,94,10,56,36,48,32,46,24,70,90,42,2,72,88,98,78,84,60,22,34,20,74,26,30,66,28,100,4,58,62,50,"BRCA.LumB"
18,58,84,86,60,76,62,6,30,44,22,74,42,70,12,90,94,20,2,92,10,54,40,32,38,26,46,88,72,36,4,80,96,98,68,78,66,24,28,16,82,14,34,50,52,100,8,64,56,48,"BRCA.LumB"
28,44,72,86,30,32,80,8,52,50,24,78,46,90,4,92,98,20,6,96,10,64,38,48,18,22,16,88,84,34,2,70,94,82,74,76,60,40,26,12,68,42,54,58,14,100,56,62,66,36,"BRCA.LumB"
18,62,52,10,50,58,82,86,78,48,42,94,66,54,4,96,88,38,24,90,6,40,64,70,12,14,8,30,36,74,2,92,72,100,84,44,46,32,56,26,16,34,68,80,20,98,22,28,76,60,"BRCA.LumB"
26,56,48,78,62,80,66,16,50,54,14,76,38,68,8,88,98,30,22,94,18,46,36,44,6,10,2,92,86,32,4,72,84,96,90,70,64,28,40,34,82,24,52,60,12,100,20,42,74,58,"BRCA.LumB"
24,56,70,42,78,88,74,26,62,76,12,82,54,52,14,100,86,34,18,94,20,68,66,48,22,6,10,2,60,36,4,80,98,92,84,30,46,40,44,32,8,38,58,90,28,96,16,64,72,50,"BRCA.LumB"
14,50,60,84,34,38,66,8,48,44,36,74,46,70,12,90,98,20,76,96,10,52,56,26,22,24,42,68,78,32,2,86,80,88,62,82,92,18,28,6,94,16,30,58,72,100,4,54,64,40,"BRCA.LumB"
18,86,54,26,46,78,70,12,56,36,24,90,64,76,16,92,88,38,82,100,10,68,34,48,4,22,6,30,74,42,2,96,94,98,80,72,60,40,28,20,14,62,44,66,8,84,32,50,58,52,"BRCA.LumB"
22,68,60,50,30,66,72,6,56,40,44,86,46,82,8,92,98,24,34,96,4,78,26,54,20,18,16,84,80,58,2,90,88,100,70,52,74,28,14,12,64,76,42,62,32,94,10,38,48,36,"BRCA.LumB"
36,72,90,86,48,80,76,16,50,30,6,62,34,82,22,88,100,20,14,96,18,68,52,32,12,10,4,66,84,28,2,70,92,42,40,64,74,24,46,26,94,56,58,78,8,98,44,60,54,38,"BRCA.LumB"
12,62,56,68,60,40,82,6,66,34,20,92,30,84,14,90,98,26,4,96,8,28,18,38,58,88,100,50,52,48,2,80,70,72,78,74,86,24,22,16,42,76,44,46,54,94,10,32,64,36,"BRCA.LumB"
42,54,78,68,38,86,62,12,56,28,26,90,34,74,30,88,96,32,6,94,24,80,14,44,4,10,8,72,84,22,2,76,92,100,58,46,82,50,40,20,36,70,66,52,18,98,16,48,64,60,"BRCA.LumB"
22,68,72,84,38,78,62,6,60,32,58,82,52,76,20,88,98,28,16,96,14,54,56,48,4,10,18,34,80,36,4,86,94,100,42,74,90,40,26,12,44,24,46,70,8,92,66,64,50,30,"BRCA.LumB"
18,62,56,54,92,88,78,16,64,46,68,74,40,66,12,80,98,38,60,90,30,28,8,50,48,26,44,14,100,32,2,82,76,96,86,52,10,24,34,20,4,70,58,84,22,94,6,36,72,42,"BRCA.LumB"
22,70,76,58,32,82,60,8,48,52,26,64,40,72,42,92,98,16,18,90,20,56,34,38,4,10,6,86,88,24,2,84,78,100,66,68,96,54,30,30,36,80,50,46,12,94,14,62,74,44,"BRCA.LumB"
38,42,82,18,66,70,86,28,64,46,14,74,48,44,4,88,94,36,40,96,6,84,34,56,12,24,10,50,68,52,2,80,90,100,78,72,26,30,32,22,20,98,76,58,8,92,16,54,62,60,"BRCA.LumB"
14,74,62,66,10,78,56,6,44,36,76,64,38,30,26,90,94,22,8,96,18,58,32,16,60,68,70,88,86,42,2,72,92,98,46,54,82,12,20,4,84,28,34,80,50,100,24,48,52,40,"BRCA.LumB"
16,54,66,72,38,78,70,6,40,42,64,86,52,74,4,92,98,34,14,94,10,80,46,20,30,50,36,76,84,26,2,82,90,96,58,60,88,12,24,8,68,48,32,62,22,100,18,28,56,44,"BRCA.LumB"
22,44,50,72,38,66,68,16,54,60,24,82,48,62,20,92,98,36,12,94,10,64,28,52,4,8,6,90,74,26,2,84,88,96,76,80,78,30,32,18,86,70,40,56,34,100,14,58,42,46,"BRCA.LumB"
16,62,54,66,20,76,58,14,52,38,44,84,30,72,12,88,100,32,6,92,8,60,22,40,48,56,46,80,78,36,2,82,90,94,64,50,96,24,26,10,86,74,28,68,18,98,4,70,42,34,"BRCA.LumB"
22,54,68,76,38,72,64,20,56,52,24,78,44,74,6,86,98,26,30,94,8,66,28,48,10,12,14,84,80,40,2,82,90,88,58,36,96,34,46,18,92,62,32,70,16,100,4,60,50,42,"BRCA.LumB"
24,48,66,80,46,72,74,14,56,38,50,90,36,76,16,92,96,34,10,94,12,52,28,44,8,6,4,82,84,26,2,78,88,98,68,60,86,30,32,20,64,40,42,70,22,100,18,62,54,58,"BRCA.LumB"
22,36,40,60,54,44,58,10,62,56,16,86,50,52,8,96,100,26,18,92,4,64,30,66,34,84,94,82,72,32,2,90,68,88,76,78,80,20,24,12,42,74,28,70,6,98,14,38,48,46,"BRCA.LumB"
24,58,78,72,38,68,54,18,60,32,30,82,46,76,22,90,96,20,66,98,16,62,42,48,4,6,8,64,88,50,4,86,92,94,80,84,74,36,40,28,12,44,34,70,26,100,10,56,52,14,"BRCA.LumB"
12,60,66,46,14,78,70,8,52,92,22,74,34,82,18,100,96,40,16,88,10,64,90,42,36,50,56,30,72,38,2,80,86,94,68,58,84,20,26,6,62,28,44,76,32,98,4,54,48,24,"BRCA.LumB"
12,58,68,50,20,76,74,8,62,28,80,94,38,66,14,82,92,32,6,84,16,30,22,42,60,44,52,86,72,26,2,88,90,98,56,64,54,18,36,10,100,78,40,70,46,96,4,24,34,48,"BRCA.LumB"
16,68,52,48,42,54,72,8,32,46,70,90,26,80,14,92,98,22,36,88,6,62,44,30,64,76,74,86,84,18,2,82,94,96,78,56,12,24,34,10,50,20,28,66,40,100,4,60,58,38,"BRCA.LumB"
20,48,50,76,68,74,82,30,64,44,56,86,54,72,8,92,98,26,34,96,4,60,38,52,16,12,14,6,70,58,2,80,62,66,90,36,94,40,28,24,84,22,42,78,18,100,10,32,88,46,"BRCA.LumB"
24,40,58,78,26,66,56,6,50,36,16,84,48,54,14,98,100,18,74,94,4,64,42,44,8,12,30,92,80,28,2,96,86,72,70,90,68,22,32,10,82,52,34,76,20,88,60,62,38,46,"BRCA.LumB"
16,72,36,20,64,60,68,12,54,88,62,80,46,58,10,100,96,18,22,94,6,74,92,48,34,26,28,44,66,52,2,84,90,82,78,40,86,32,56,14,4,70,24,76,42,98,8,30,50,38,"BRCA.LumB"
10,54,58,82,40,76,64,4,60,24,48,68,30,80,22,90,100,14,66,96,8,78,36,44,42,46,56,72,88,16,2,94,92,86,38,84,34,26,20,18,6,28,32,74,52,98,12,50,70,62,"BRCA.LumB"
24,52,62,94,40,72,56,14,54,58,22,82,44,46,10,84,100,36,18,96,16,70,38,60,4,6,8,34,78,28,2,86,90,50,66,88,26,48,32,20,92,80,30,76,12,98,68,74,64,42,"BRCA.LumB"
34,54,82,94,52,64,68,16,56,58,38,74,26,72,8,90,98,28,18,96,14,62,50,48,4,12,6,84,86,44,2,70,88,92,78,80,22,40,42,24,76,30,36,60,20,100,10,66,32,46,"BRCA.LumB"
22,60,78,88,38,68,62,16,54,58,12,84,28,76,10,96,98,40,14,94,18,86,70,46,36,30,26,80,82,42,4,64,92,90,74,66,6,32,52,24,8,20,34,72,44,100,2,56,48,50,"BRCA.LumB"
18,62,78,76,38,72,74,12,42,50,60,88,36,82,14,96,92,28,4,94,6,64,66,46,26,44,30,68,84,24,2,86,90,98,70,58,16,34,32,10,20,54,40,80,8,100,22,48,56,52,"BRCA.LumB"
24,42,58,48,26,62,70,16,54,40,52,86,44,72,8,94,100,28,92,98,6,36,30,46,12,10,14,84,66,32,2,90,88,78,82,80,68,22,34,18,74,76,38,64,20,96,4,50,60,56,"BRCA.LumB"
24,46,56,38,72,94,66,4,88,48,32,64,52,74,16,86,98,14,10,90,8,60,28,42,62,70,58,26,84,34,2,76,92,100,80,30,44,50,18,20,6,82,54,78,12,96,22,40,68,36,"BRCA.LumB"
18,64,34,40,26,30,76,12,54,58,22,86,42,74,50,100,94,32,16,88,10,60,90,48,4,14,6,52,62,28,2,84,80,96,78,72,98,36,44,20,70,68,56,82,8,92,24,38,66,46,"BRCA.LumB"
22,62,68,60,30,78,66,12,50,48,34,76,42,84,18,90,100,20,54,94,10,70,64,44,6,4,8,92,74,36,2,86,88,96,72,82,46,26,24,16,80,38,32,52,14,98,28,56,58,40,"BRCA.LumB"
20,62,76,54,28,74,66,6,34,32,58,80,38,86,8,90,96,24,12,92,4,72,40,36,18,48,30,46,84,50,2,82,94,98,78,68,88,16,26,14,52,64,42,70,22,100,10,56,60,44,"BRCA.LumB"
24,52,74,88,50,80,84,22,42,64,28,76,30,72,14,94,96,26,12,92,20,40,62,48,6,8,6,78,82,44,2,66,90,98,86,56,68,38,34,32,36,18,60,70,16,100,10,46,54,58,"BRCA.LumB"
26,58,82,48,34,74,66,12,56,40,36,86,50,62,14,100,94,22,64,96,16,76,90,46,6,8,4,72,78,60,2,88,92,68,84,52,70,20,32,18,10,38,30,80,24,98,28,42,54,44,"BRCA.LumB"
18,60,62,50,32,86,74,10,44,64,46,82,34,78,6,96,94,36,12,92,8,66,52,42,22,26,20,54,80,38,2,84,90,98,76,58,88,24,28,14,40,72,30,68,4,100,16,56,70,48,"BRCA.LumB"
28,62,82,90,48,70,78,20,66,44,64,86,30,76,2,96,100,36,12,98,10,56,58,54,16,14,6,34,84,52,4,80,92,50,88,60,24,42,38,26,22,18,46,72,8,94,32,68,74,40,"BRCA.LumB"
8,68,84,64,36,74,66,10,46,54,60,88,42,70,6,96,94,40,30,92,4,56,38,48,28,14,24,50,86,26,2,80,90,98,76,62,78,18,20,12,82,22,32,72,16,100,44,52,58,34,"BRCA.LumB"
36,60,54,82,30,28,68,26,74,58,14,90,38,64,40,48,84,42,18,86,12,22,34,50,4,8,6,70,78,32,4,96,76,100,98,52,20,44,46,24,56,88,72,94,10,92,16,66,80,62,"BRCA.LumB"
